developer-agreement,developer-agreement-type,orgainisation,entry-date,start-date,end-date,planning-application,document-url
1,section-106,local-authority-eng:BAB,2007-02-07,2007-02-07,,B/06/01338,
2,section-106,local-authority-eng:BAB,2007-09-27,2007-09-27,,B/07/00611,
3,section-106,local-authority-eng:BAB,2008-07-02,2008-07-02,,B/07/01319,
4,section-106,local-authority-eng:BAB,2008-02-14,2008-02-14,,B/07/01383,
5,section-106,local-authority-eng:BAB,2007-11-08,2007-11-08,,B/07/01566,
6,section-106,local-authority-eng:BAB,2008-09-17,2008-09-17,,B/08/00496,
7,section-106,local-authority-eng:BAB,2010-02-05,2010-02-05,,B/09/01269,
8,section-106,local-authority-eng:BAB,2010-03-16,2010-03-16,,B/09/01394,
9,section-106,local-authority-eng:BAB,2010-12-14,2010-12-14,,B/10/00720,
10,section-106,local-authority-eng:BAB,2011-05-09,2011-05-09,,B/11/00097,
11,section-106,local-authority-eng:BAB,2011-09-26,2011-09-26,,B/11/00985,
12,section-106,local-authority-eng:BAB,2012-12-19,2012-12-19,,B/12/00433,
13,section-106,local-authority-eng:BAB,2012-12-19,2012-12-19,,B/12/00676,
14,section-106,local-authority-eng:BAB,2013-08-16,2013-08-16,,B/12/01198,
15,section-106,local-authority-eng:BAB,2013-04-19,2013-04-19,,B/12/01301,
16,section-106,local-authority-eng:BAB,2013-03-08,2013-03-08,,B/12/01534,
17,section-106,local-authority-eng:BAB,2013-03-22,2013-03-22,,B/13/00073, 
18,section-106,local-authority-eng:BAB,2013-04-17,2013-04-17,,B/13/00235,
19,section-106,local-authority-eng:BAB,2013-09-25,2013-09-25,,B/13/00720,
20,section-106,local-authority-eng:BAB,2013-12-11,2013-12-11,,B/13/00991,
21,section-106,local-authority-eng:BAB,2013-12-23,2013-12-23,,B/13/01158,
22,section-106,local-authority-eng:BAB,2015-06-02,2015-06-02,,B/13/01238,
23,section-106,local-authority-eng:BAB,2014-04-17,2014-04-17,,B/13/01417,
24,section-106,local-authority-eng:BAB,2014-02-26,2014-02-26,,B/13/01500,
25,section-106,local-authority-eng:BAB,2015-05-27,2015-05-27,,B/14/00100,
26,section-106,local-authority-eng:BAB,2014-05-27,2014-05-27,,B/14/00177,
27,section-106,local-authority-eng:BAB,2015-07-27,2015-07-27,,B/14/01288,
28,section-106,local-authority-eng:BAB,2015-12-04,2015-12-04,,B/15/00860,
29,section-106,local-authority-eng:BAB,2015-09-29,2015-09-29,,B/15/00923,
30,section-106,local-authority-eng:BAB,2016-01-08,2016-01-08,,B/15/01332,
31,section-106,local-authority-eng:BAB,2015-12-23,2015-12-23,,B/15/01495,
32,section-106,local-authority-eng:BAB,2016-03-31,2016-03-31,,B/15/01672,
33,section-106,local-authority-eng:BAB,2017-05-03,2017-05-03,,B/15/01737,
34,section-106,local-authority-eng:BAB,2016-04-27,2016-04-27,,B/16/00258,
35,section-106,local-authority-eng:BAB,2017-10-30,2017-10-30,,B/17/00122,